STAID,DRAIN_SQKM,STANAME,LAT_GAGE,LNG_GAGE
wb-2453,1.0,wb-2453,0.0,0.0
wb-2454,1.0,wb-2454,0.0,0.0
wb-2455,1.0,wb-2455,0.0,0.0
