time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate,PET_hargreaves
2015-12-15 22:00:00,0.0,303.8000183105469,23.399999618530277,99300.0,0.0078999996185302,292.5,1.2000000476837158,0.0,0.0,0.008692183163946475
2015-12-15 23:00:00,0.0,303.8000183105469,0.0,99310.0,0.0078999996185302,288.20001220703125,0.9000000357627869,0.3000000119209289,0.0,0.0
2015-12-16 00:00:00,0.0,287.1000061035156,0.0,99380.0,0.0083999997004866,287.70001220703125,0.6000000238418579,0.6000000238418579,0.0,0.0
2015-12-16 01:00:00,0.0,287.1000061035156,0.0,99340.0,0.0082000000402331,285.70001220703125,0.3000000119209289,-0.1000000014901161,0.0,0.0
2015-12-16 02:00:00,0.0,287.1000061035156,0.0,99390.0,0.0082000000402331,285.3000183105469,0.0,-0.9000000357627869,0.0,0.0
2015-12-16 03:00:00,0.0,280.70001220703125,0.0,99490.0,0.0082000000402331,283.8000183105469,-0.3000000119209289,-1.7000000476837158,0.0,0.0
2015-12-16 04:00:00,0.0,280.70001220703125,0.0,99540.0,0.0077999997884035,283.5,-0.4000000059604645,-1.399999976158142,0.0,0.0
2015-12-16 05:00:00,0.0,280.70001220703125,0.0,99520.0,0.0072999997064471,282.20001220703125,-0.5,-1.2000000476837158,0.0,0.0
2015-12-16 06:00:00,0.0,275.8000183105469,0.0,99580.0,0.0067999996244907,281.20001220703125,-0.699999988079071,-0.9000000357627869,0.0,0.0
2015-12-16 07:00:00,0.0,275.8000183105469,0.0,99570.0,0.0068999999202787,281.3999938964844,-0.9000000357627869,-0.800000011920929,0.0,0.0
2015-12-16 08:00:00,0.0,275.8000183105469,0.0,99580.0,0.0064999996684491,280.3999938964844,-1.100000023841858,-0.800000011920929,0.0,0.0
2015-12-16 09:00:00,0.0,272.20001220703125,0.0,99640.0,0.0061999997124075,279.3000183105469,-1.399999976158142,-0.800000011920929,0.0,0.0
2015-12-16 10:00:00,0.0,272.20001220703125,0.0,99580.0,0.006000000052154,279.1000061035156,-1.7000000476837158,-0.699999988079071,0.0,0.0
2015-12-16 11:00:00,0.0,272.20001220703125,0.0,99670.0,0.0067999996244907,281.8000183105469,-2.0,-0.699999988079071,0.0,0.0
2015-12-16 12:00:00,0.0,267.20001220703125,0.0,99760.0,0.0068999999202787,280.70001220703125,-2.400000095367432,-0.6000000238418579,0.0,0.0
2015-12-16 13:00:00,0.0,267.20001220703125,79.5999984741211,99760.0,0.0066999997943639,280.6000061035156,-2.299999952316284,-0.699999988079071,0.0,0.02842731770024488
2015-12-16 14:00:00,0.0,267.1000061035156,222.90000915527344,99850.0,0.0077999997884035,284.3999938964844,-2.200000047683716,-0.800000011920929,0.0,0.07960363689836635
